p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Jyoti Mirdha,Dr. (Smt.) Jyoti Mirdha,26/07/1972,26-Jul-72,Rajasthan,Rajasthan,https://twitter.com/jyotimirdha,Nagaur,Nagaur,Indian National Congress,F,"3,90,39,915",,"M.B.B.S. Educated at SMS Medical College, Jaipur, Rajasthan",,"Mirdha Farm, Mama Ki Dhani, Sirsi Road,P.O. - Sirsi, Jaipur - 302012, RajasthanTels. (0141) 2240709, 09351511730 (M)",,,New Delhi,,"3,90,39,915 3",,Indian National Congress,"Water resources, alternative medicine (especially nutrition) and renewable energy"
Jagathrakshakan,Shri S. Jagathrakshakan,#N/A,6-Feb-48,Tamil Nadu,Tamil Nadu,No,Arakkonam,Arakkonam,Dravida Munnetra Kazhagam,M,"5,91,06,399",Education of the down-trodden; Helping the orphans and handicapped people; conducted several functions to aid them; `Alwarkal aaiyuvumaiyam` a research organisation dedicated to the promotion of Tamil culture and art,Matriculate   Educated at Valudvur,Widely travelled ,"1, First Main Road, Kasthuribainagar,Adyar, Chennai - 600 020 Tamil NaduTels.(044) 24913113  Fax: (044) 8228776",,Volleyball,"Kalingamalai, Villupuram (Tamil Nadu)",,"5,91,06,399 5",,Dravida Munnetra Kazhagam,"Visiting other States and countries to find out the new schemes and developments so as to implement; promotion of language, art and culture"
Jagdish Singh Rana,Shri Jagdish Singh Rana,#N/A,28-Aug-54,Uttar Pradesh,Uttar Pradesh,No,Saharanpur,Saharanpur,Bahujan Samaj Party,M,"1,88,67,277",,"B.A. Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",European countries including France,"Kothi No.1, Ahmedbagh,Delhi Road, Saharanpur,  Uttar PradeshTels (0132) 2728282  09359890555 (M)",,,"Muradnagar, Distt. Saharanpur (Uttar Pradesh)",,"1,88,67,277 1",,Bahujan Samaj Party,"Agriculture, rural development and upliftment of the poor"
R.Dhruvanarayana,Shri Rangaswamy Dhruvanarayana,#N/A,31-Jul-61,Karnataka,Karnataka,No,Chamrajanagar,Chamarajanagar,Indian National Congress,M,"1,67,29,619",Participated in Inter University Cultural Programmes of singing and dancing,"B.Sc. (Agriculture), M.Sc.  (Agriculture)  Educated at University of Agricultural Sciences, Bangalore, Karnataka","Australia, China (as member, Karnataka Legislative Assembly), Japan, Malaysia, Singapore and U.S.A","791, 1st Phase, Vijayanagar 4th Stage,Mysore - 17, KarnatakaTels. (0821) 2515774, 09448135658(M)",,Represented University in All India Inter University Football  Tournament,"Vill-Heggavadi, Distt. Chamaraja Nagar (Karnataka)",,"1,67,29,619",,Indian National Congress,Farming
Bharat Ram Meghwal,Shri Bharat Ram Meghwal,1/11/56,11-Jan-56,Rajasthan,Rajasthan,No,Ganganagar,Ganganagar,Indian National Congress,M,"50,16,000","Since student life interested in various social work taking out prabhat pheris in the morning, cleaning Harijan localities, promoting adult education, persuading children of illiterate families to  go to school, providing relief to the affected during famines, flood; organise regularly debate competitions among school children and adults; and staging religious, social and patriotic plays","B.A., B.Ed.  Educated  at Rajasthan University, Jaipur and Kota Open University, Kota, Rajasthan",,"Sanjay Colony, Ward No. 21,Rawatsar, Distt. Hanumangarh Rajasthan - 335 524 Tels. (01537) 231862, 09413382862 (M) Fax. (01537) 230862",,"Organising cricket matches and traditional games like kabaddi, wrestling and kho-kho through youth in the villages","Vll. Fatehpur, Distt. Alwar (Rajasthan)",,"50,16,000 50 L",,Indian National Congress,Studies and politics
Solanki Kiritbhai Premajibhai,Dr. Kirit Premjibhai Solanki,17/06/1950,17-Jun-50,Gujarat,Gujarat,No,Ahmedabad West,Ahmedabad West,Bharatiya Janata Party,M,"2,61,22,439","Social service, particularly for weaker section in terms of social, educational and cultural development; implementing ideology  of Babasaheb;  organised diagnostic camps, blood donation camps and healthcare services;organised many international, national and state level surgeons conference, live operative workshop and EIYES; conducted special coaching for SC, ST and other backwardclass students belonging to the deprived sections","M.B.B.S., M.S. and F.I.C.S.   Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of International College of Surgeon",,"Chirag Bungalow 11, Kirtan Society,  Nr. 132 Ft. Ring Road, Ranip Cross Road, Ahmedabad, GujaratTels. (079) 27520506, 09925004644 (M) Fax. (079) 27550075",,"Member, Sport Medicine Association, Gujarat","Vill. Kamboi, Distt. Patan (Gujarat)",,"2,61,22,439",,Bharatiya Janata Party,"Teaching, Medical education and research, social service specially downtrodden"
Chandulal Sahu (Chandu Bhaiya),Shri Chandu Lal Sahu,#N/A,1-Jun-59,Chhattisgarh,Chhattisgarh,No,Mahasamund,Mahasamund,Bharatiya Janata Party,M,"68,05,000",,"B.Com., LL.B.  Educated at Rajiv Lochan College, Rajim and  Durga College, Raipur",,"Shivaji Chowk, Rajim, Raipur, Chhatishgarh",,,"Teka, Raipur Chhattisgarh",,"68,05,000 68 L",,Bharatiya Janata Party,
Sisir Adhikari,Shri Sisir Kumar Adhikari,19/09/1941,19-Sep-41,West Bengal,West Bengal,No,Kanthi,Kanthi,All India Trinamool Congress,M,"10,83,159",,I.Sc.,,"Vill-Karkuli, P.O. Contai,Distt.- Purba Medinipur, West Bengal - 721 401Tels. (03220) 255067, 256031",,,,,"10,83,159 10 L",,All India Trinamool Congress,
Nityananda Pradhan,Shri Nityananda Pradhan,18/11/1944,18-Nov-44,Orissa,Odisha,No,Aska,Aska,Biju Janata Dal,M,"2,63,46,692",Associated with several social and cultural and co-operative activities,"M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur",,"P.O. - Takarada, Via - Shergada, Ganjam, Orissa - 761 106Tels. 9437010001 (M), 9868180540 (M)",,Football and cricket,"Takarada, Distt. Ganjam, Orissa",,"2,63,46,692 2",,Biju Janata Dal,Interested in development of irrigation and drinking water projects and development of agriculture
Mahendra Kumar Roy,Shri Mahendra Kumar Roy,#N/A,31-Dec-55,West Bengal,West Bengal,No,Jalpaiguri,Jalpaiguri,Communist Party of India (Marxist),M,"28,78,591",,"B.A.,B.Ed.  Educated at A.C. College and  A.C. Training College, Jalpaiguri under the University  of North Bengal, West Bengal.",,"Vill. Goriapara, P.O. Chaulhati,Distt. Jalpaiguri,  West Bengal - 735138Tels. (03561) 202184, 9932205065 (M)",,,Vill. Goriapara Distt. Jalpaiguri ( West Bengal),,"28,78,591 28 L",,Communist Party of India (Marxist),"Cinema, Drama, Travelling"
Prasanna Kumar Patasani,Dr. (Prof.) Prasanna Kumar Patasani,27/04/1946,27-Apr-46,Orissa,Odisha,No,Bhubaneswar,Bhubaneswar,Biju Janata Dal,M,"14,77,178","<I>Founder</I> Kabi Prasanna Patasani (i) High School, Mugagahir; (ii) Law College, Khurda; (iii) Sanskrit Mahavidyalaya, Malipada, Khurda; (iv) Education Complex, Dattatota Sahi, Puri; (v)High School , Ramachandi, Khurda; (vi) Girls High School, Orabarasingh, Khurda and Nirakarpur; (vii) Prasanna Patasani Girls High School, Muninda; (viii) Dr. Prasanna Patasani  Electro Homeopathic Medical College and Hospital, Cuttack; (ix) Kalinga Kutir Jojana, Narangarh, Khurda; (x) Mahashi College of Natural Law, Santara Bandha, Augul; (xi) Dr. Patasani College of Schience and Education, Kaudakhuni (Brahmagiri); (xii) Father of Maharashi Institute of Creative Intelligence, Bhusandapur; (xiii) Father of Prasanna Nilayam, Padmapur, Balasore;(xiv) Prasanna patasani Dharmausilana Snastha, Konark Martial Art Academy, Gurujanga;(xv) Abadhuta Group of rebel poets in Oriya literature; and (xvi) Eastern Zone Writer`s Conference  <I>Associated with</I> various cultural association (i) Arohi Cultural Association; (ii) Ghungur Cultural Association;  (iii) Jayadev Sangeet Parisad, Bhubaneswar; and (iv) National Institute for Social Development and Information Science; assit the poor and needy people;interested in social reforms, up-lifting the economy of the general mass; took initiative in the formation of Khurda District.","M.A., LL.B., M.S.C.I., F.I.M.A. Ph.D, D. Litt.(Utkal), D.Sc.(Swiss)D.Litt. (South Africa)                   Educated at Utkal University, Bhubaneswar, Madhusudan Law                                           College, Cuttack, Orissa, Maharshi Institute of Creative Intelligence,                                            Rishikesh, Uttar Pradesh, Sheelsburg, Switzerland ",Widely travelled,"P.O. -  Balugaon, Distt.- KhurshaOrissaTels. (06756) 20034",,,"Vill. Balugaon, Distt. Khurda (Orissa)",,"14,77,178 14 L",,Biju Janata Dal,"Writing, travelling, journalism, poetry recitation, acting and music"
Somabhai Gandalal Koli Patel,Shri Somabhai Gandalal Koli Patel,8/10/40,10-Aug-40,Gujarat,Gujarat,No,Surendranagar,Surendranagar,Indian National Congress,M,"1,86,35,718",,"Under Matriculate  Educated at Viramgam Taluka Shala, Viramgam, Distt. Ahmedabad, Gujarat",Nepal,"Parkota, Near Ramji Mandir, Viramgam, Ta. Viramgam, Distt. - Ahmedabad 382150, GujaratTels. (02715) 233333",,,"Nagadaka, Ta.Sayala, Distt.Surendranagar (Gujarat)",,"1,86,35,718 1",,Indian National Congress,"Social activities, welfare of labour and employees"
Narayansingh Amlabe,Shri Narayan Singh Amlabe,6/1/51,1-Jun-51,Madhya Pradesh,Madhya Pradesh,No,Rajgarh,Rajgarh,Indian National Congress,M,"38,08,133",,"Higher Secondary Educated at Madhya Pradesh Board, Bhopal, Madhya Pradesh",,"Vill. Amlabe. P.O. Kodkiya, Teh. Jeerapur, Distt. Rajgarh, Madhya PradeshTels.(07370) 281486, 09425194084, 09926138930 (M)",,,"Amlabe, Distt. Rajgarh (Madhya Pradesh)",,"38,08,133 38 L",,Indian National Congress,Public and social service
Gorakh Prasad Jaiswal,Shri Gorakh Prasad Jaiswal,#N/A,25-Sep-38,Uttar Pradesh,Uttar Pradesh,No,Deoria,Deoria,Bahujan Samaj Party,M,"2,42,17,040",,"Matriculate Educated at Town Hindi High School, Golaghat, Assam",,"Barhaj, Deoria,Uttar PradeshTel. 9721072008 (M)",,Football,Deoria (Uttar Pradesh),,"2,42,17,040 2",,Bahujan Samaj Party,To work for the upliftment of the backward and downtrodden people.
Saroj Pandey,Km. Saroj Pandey,#N/A,22-Jun-68,Chhattisgarh,Chhattisgarh,https://twitter.com/SarojPandeyBJP,Durg,Durg,Bharatiya Janata Party,F,"3,79,787","Arranged Teej Milan, Sawan mela, Ram Nawami, Mahotsava, during the tenure of Mayor; worked for social empowerment by arranging Talent Search programme such as Durg Ideal, Cricket and  Rangoli Competition.","M.Sc. (Child Development)  Educated at Bhilai Mahila College, Pt. Ravishankar University, Raipur",,"Phase - 1, Bunglow No. - 1A, Maitri Nagar Risali, BhilaiDistt. - Durg, ChhattisgarhTels. (07882) 276442 09425247454 (M)",,"Executive member of Jattar Club, Durg., Member of Horticulture Society, Durg.",,,"3,79,787 3 Lacs",,Bharatiya Janata Party,"Speech, planning and research for development activities."
Uday Singh,Shri Uday Singh,11/9/52,9-Nov-52,Bihar,Bihar,https://twitter.com/udaysingh1,Purnia,Purnia,Bharatiya Janata Party,M,"41,90,30,669","Social service, especially encouraging NGOs working amongst Scheduled Castes and Scheduled Tribes",Higher Secondary   Eduated at Delhi Public School,Widely travelled (more than 20 countries),"Maul Babu Hata, Madhubani, Purnea, BiharTels. (06454) 243222 Fax. (06454) 241215",,"<I>Member</I>, India Habitat Centre",Patna (Bihar),,"41,90,30,669 4",,Bharatiya Janata Party,
Babulal Marandi,Shri Babu Lal Marandi,1/11/58,11-Jan-58,Jharkhand,Jharkhand,https://twitter.com/babulalmarandi,Kodarma,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),M,"21,37,675","Making efforts to provide infrastructural facilities in the villages of Jharkhand; working for rural  development, political and cultural awakening of Scheduled Tribes , upliftment of tribals,  social harmony , promotion  of  Santhali  language and folk artists of the State of Jharkhand","Graduate  Educated at Ranchi University, Ranchi,Jharkhand ","Bangladesh, France, Germany, Hong Kong, Indonesia, Italy,  Kenya, Malayasia, Romania, Singapore, South Africa, Switzerland, Thailand, Turkey and U.A.E.","Vill. Kodai Bank, P.O. Chandauri, P.S. Tisri, Distt. Giridih - 815 301, JharkhandTelefax. (0651) 2246017, 09431102901 (M)",,"Archery, football and rural sports; organising sports competitions in the rural areas of the state of Jharkahand","Vill. Kodai Bank, Distt. Giridih (Jharkhand)",,"21,37,675 21 L",,Jharkhand Vikas Morcha (Prajatantrik),"Folk literature of the country, environment protection and reading"
Kabir Suman,Shri Kabir Suman,16/03/1950,16-Mar-50,West Bengal,West Bengal,https://twitter.com/kabirsumandotin,Jadavpur,Jadavpur,All India Trinamool Congress,M,"32,06,685","Involved in music movements, including music clubs, raised funds for jobless industrial workers and for public interest litigations on environment issues; involved in social rehabilation activities for mentally challenged people","B.A. (Hons.) English Literature   Educated at Jadavpur University, Kolkata, West Bengal","Australia, Bangladesh, France, Germany, The Netherland, Nicaragua, Thailand, U.K. and  U.S.A.","19/G, Baishnabghata Bye Lane,Kolkata- 700 047  West BengalTels. (033) 24997830, 09836585546 (M)",,,Cuttack (Orissa),,"32,06,685 32 L",,All India Trinamool Congress,"Movies,film making, videography and video editing; sound and music production with the help of computer software"
Kuvarjibhai Mohanbhai Bavalia,Shri Kunwarjibhai Mohanbhai Bavaliya,#N/A,16-Mar-55,Gujarat,Gujarat,No,Rajkot,Rajkot,Indian National Congress,M,"45,60,852",,"B.Sc., B.Ed.  Educated at Saurashtra University and Gujarat University, Gujarat",,"I/10, Vaniya Vadi Hingalaj Krupa, Opposite Patel Vadi Rajkot, Gujarat - 360 002Tels. (0281) 273511  9824451321 (M) Fax (0281) 2364958",,,"Janada, Taluko Jasdan, Distt. Rajkot (Gujarat)",,"45,60,852 45 L",,Indian National Congress,Reading and sports
Hukmadeo Narayan Yadav,Shri Hukmdev Narayan Yadav,17/11/1939,17-Nov-39,Bihar,Bihar,No,Madhubani,Madhubani,Bharatiya Janata Party,M,"2,50,12,430",Inclination towards religious and spiritual activities; constructed several temples and public buildings ,"Graduate,  Educated at Chandradhari Mithila College, Darbhanga, Bihar",,"Vill. & P.O. Bijuly,Distt. Darbhanga, BiharTels. (06272) 245094 09431220044 (M)",,"Indian Sports-Kabaddi, Chikka and Gulli-danda","Bijuli, Distt. Darbhanga (Bihar)",,"2,50,12,430 2",,Bharatiya Janata Party,"Travelling, reading, religious discourses and social issues "
Deepa Dasmunsi,Smt. Deepa Dasmunsi,15/07/1960,15-Jul-60,West Bengal,West Bengal,No,Raiganj,Raiganj,Indian National Congress,F,"1,25,14,145","Worked for the street children,disabled children and tribal people","M.A.(Dramatics)   Educated at Rabindra Bharati University, Kolkata, West Bengal",Widely travelled,"6A, Rani Bhavani Road, Kolkata - 700 026, West BengalTels. (033) 24640505, 09434059596 (M)  Fax. (033) 24640202",,"President, Delhi Women Football",Kolkata (West Bengal),,"1,25,14,145 1",,Indian National Congress,
Vinay Kumar,"Dr. Vinay Kumar ""Vinnu"" Pandey",18/06/1964,18-Jun-64,Uttar Pradesh,Uttar Pradesh,No,Shrawasti,Shrawasti,Indian National Congress,M,"1,57,43,200","Managing more than three dozen educational Institutes, Devipatan Division,Uttar Pradesh; works for upliftment of poor, down-trodden and deprived families without discriminating caste and creed; and empowerment of women,girls and farmers","Ph.D. (Paleobotany), M.Sc. (Botany), PG Diploma in Computer Science, Ayurved Ratna, Certificate Course in Processing and Cultivation of Aeromatic and Medicinal Plants Educated at RML University, Faizabad,(MLK, PG College, Balrampur, Uttar Pradesh), Hindi Sahitya Sammelan, Prayag and CIMAP, Lucknow and Lucknow University, Uttar Pradesh",,"Vill. Ghughulpur, P.O. Deoria  (West)Distt. Balrampur, Uttar Pradesh",,Cricket,"Vill.Mankapur, Distt. Gonda (Uttar Pradesh)",,"1,57,43,200 1",,Indian National Congress,"Nature study, health consciousness, spreading Gandhiji`s messages amongst the people and upliftment of living standards and literacy amongst the small and marginal farmers and other deprived section"
Sushil Kumar Singh,Shri Sushil Kumar Singh,27/06/1963,27-Jun-63,Bihar,Bihar,No,Aurangabad,Aurangabad,Janata Dal (United),M,"2,08,87,871","Promoting traditional,cultural and religious festivals; participation in marriages & other social ceremonies; and promotion of education especially for girls and backward groups.","M.A. (Political Science)  Educated at A.N. College, Magadh University, Patna, Bihar","France, Nepal, Morocco, and Switzerland","Singh Kothi,  Old G.T. Road,  Aurangabad - 824 101, BiharTels. (06186) 223600 09431223600 (M)",,Cricket; represented Aurangabad district at State-levelCricket tournaments,Aurangabad (Bihar),,"2,08,87,871 2",,Janata Dal (United),(i)Promoting adoption of scientific methods in agriculture and animal husbandary; (ii) Promoting the role of women in decentralised governance; and (iii) Strengthening irrigation & power infrastructure in southern Bihar
Yashodhara Raje Scindia,Smt. Yashodhara Raje Scindia,19/06/1954,19-Jun-54,Madhya Pradesh,Madhya Pradesh,No,Gwalior,Gwalior,Bharatiya Janata Party,F,"1,83,10,000",,"Senior Cambridge   Educated at Scindia Kanya Vidyalay, Gwalior (M.P.), Presentation Convent, Kodaikanal,Tamil Nadu",Widely travelled,"Rani Mahal, Jai Vilas Palace,Lashkar, Gwalior , Madhya PradeshTel. (91) (751) 2435200",,,London (England),,"1,83,10,000 1",,Bharatiya Janata Party,"Sports, art and culture, developmental work"
